asset,category,observations,coverage_pct,window_gaps,min_price_first,min_price_last,min_price_low,min_price_high,min_price_abs_change,min_price_pct_change,min_price_transitions,min_price_pct_adjacent_changed,min_price_distinct_states,median_price_first,median_price_last,median_price_pct_change,median_price_transitions,quantity_first,quantity_last,quantity_low,quantity_high,quantity_abs_change,quantity_pct_change,quantity_transitions,quantity_pct_adjacent_changed,quantity_distinct_states,sales_24h_first,sales_24h_last,sales_24h_min,sales_24h_max,sales_24h_abs_change,sales_24h_transitions,sales_24h_distinct_states,history_state_transitions,history_state_distinct,distinct_market_states,realized_vol_daily_pct,observed_range_pct,position_in_range_pct,contraction_frequency_pct,expansion_frequency_pct,listing_volatility_5m,price_return_1h,price_return_6h,price_return_24h,price_return_period,listing_change_1h,listing_change_6h,listing_change_24h,listing_change_period,freshness_median_s,freshness_p95_s,freshness_max_s,freshness_over_10m
AK-47 | Bloodsport (Field-Tested),weapons,2015,99.9504,1,120.59,118.23,109.27,122.0,-2.3599999999999994,-1.9570445310556426,44,2.185792349726776,40,152.42,151.76,-0.4330140401522088,82,115,103,103,117,-12,-10.434782608695652,73,3.626428216592151,14,2,5,2,6,3,5,5,12,13,143,5.932146253034389,11.650041182392243,70.38491751767482,2.136115250869349,1.4903129657228018,0.001981466168660094,-0.027153789187854827,0.0819987187700193,-0.019163763066202155,-0.019570445310556406,0,-2,-2,-12,302.99,311.8159,904.672,14
AK-47 | Crane Flight (Field-Tested),weapons,2015,99.9504,1,13.2,17.31,11.04,17.97,4.109999999999999,31.136363636363633,123,6.110283159463488,78,17.93,23.34,30.172894590072506,187,104,41,39,106,-63,-60.57692307692308,198,9.836065573770492,68,18,22,17,27,4,7,6,11,12,217,54.0027869443274,62.77173913043479,90.47619047619048,6.905116741182315,2.930948832588177,0.006544786820722772,-0.010291595197255532,-0.02533783783783805,-0.029164329781267484,0.3113636363636363,1,-1,-3,-63,302.99,311.8159,904.672,14
AK-47 | Inheritance (Field-Tested),weapons,2015,99.9504,1,37.08,36.77,26.27,38.45,-0.30999999999999517,-0.8360302049622308,122,6.0606060606060606,65,49.1,48.62,-0.9775967413442036,214,321,294,287,329,-27,-8.411214953271028,221,10.978638847491306,42,20,17,12,20,-3,6,5,12,13,262,25.528767874784574,46.36467453368863,86.20689655172416,6.607054148037754,4.371584699453552,0.0015481509497348024,0.0,0.04997144488863503,0.04937214611872154,-0.008360302049622348,-1,5,1,-27,302.99,311.8159,904.672,14
AK-47 | Olive Polycam (Factory New),weapons,2015,99.9504,1,0.38,0.37,0.37,0.39,-0.010000000000000009,-2.6315789473684235,3,0.14903129657228018,3,2.05,2.04,-0.48780487804877015,3,1815,1815,1811,1818,0,0.0,26,1.291604570293095,8,0,2,0,4,2,5,4,12,13,34,1.717302661015529,5.405405405405411,0.0,0.6458022851465475,0.6458022851465475,6.953675881826409e-05,0.0,0.0,0.0,-0.02631578947368418,1,3,3,0,302.99,311.8159,904.672,14
AK-47 | Redline (Field-Tested),weapons,2015,99.9504,1,29.12,29.06,25.6,29.32,-0.060000000000002274,-0.20604395604396383,42,2.0864381520119224,27,52.95,52.52,-0.81208687440982,64,584,575,565,585,-9,-1.5410958904109588,113,5.61351217088922,21,8,11,7,14,3,7,6,12,13,167,10.666902046020237,14.531249999999995,93.01075268817199,3.278688524590164,2.334823646299056,0.0005749677487161991,0.0,0.13161993769470404,0.03490028490028485,-0.002060439560439664,0,-3,0,-9,302.99,311.8159,904.672,14
AK-47 | Vulcan (Factory New),weapons,2015,99.9504,1,570.9,551.83,551.83,588.55,-19.069999999999936,-3.340339814328243,17,0.8445106805762543,16,935.21,817.17,-12.621764095764595,19,28,27,23,28,-1,-3.5714285714285716,11,0.546448087431694,6,1,0,0,3,-1,2,3,12,13,41,3.3102020812952127,6.65422322091947,0.0,0.29806259314456035,0.24838549428713363,0.0029278366314721437,0.0,-0.015204782725082522,-0.035919565331329895,-0.033403398143282415,0,0,1,-1,302.99,311.8159,904.672,14
AK-47 | Vulcan (Field-Tested),weapons,2015,99.9504,1,170.68,169.25,158.97,176.12,-1.4300000000000068,-0.8378251699086049,28,1.3909587680079483,23,266.66,256.83,-3.686342158553979,38,96,101,96,102,5,5.208333333333333,29,1.4406358668653751,7,3,0,0,3,-3,5,4,12,13,95,6.839955697429165,10.788199031263764,59.9416909620991,0.6458022851465475,0.7948335817188277,0.0013440561421053684,0.0,0.0,-0.027578282102844076,-0.008378251699086015,0,0,3,5,302.99,311.8159,904.672,14
AK-47 | Wild Lotus (Factory New),weapons,2015,99.9504,1,15453.24,15453.24,15393.89,15453.24,0.0,0.0,10,0.49677098857426727,7,15453.24,15453.24,0.0,10,1,1,1,1,0,0.0,0,0.0,1,0,0,0,0,0,0,1,0,1,14,0.2547087068201018,0.3855425756582668,100.0,0.0,0.0,0.0,0.0,0.0,6.471139044617047e-07,0.0,0,0,0,0,302.99,311.8159,904.672,14
AUG | Contractor (Field-Tested),weapons,2015,99.9504,1,0.02,0.02,0.02,0.02,0.0,0.0,0,0.0,1,0.04,0.04,0.0,0,7865,7843,7830,7865,-22,-0.27972027972027974,44,2.185792349726776,23,0,0,0,33,0,2,2,3,4,27,0.0,0.0,,0.9935419771485345,1.1922503725782414,9.395754255030341e-05,0.0,0.0,0.0,0.0,0,-2,-2,-22,302.99,311.8159,904.672,14
AUG | Hot Rod (Factory New),weapons,2015,99.9504,1,470.84,466.81,317.5,470.84,-4.029999999999973,-0.8559170843598617,23,1.1425732737208147,21,595.29,551.59,-7.340959868299472,9,4,6,4,6,2,50.0,4,0.19870839542970692,3,0,1,0,1,1,1,2,8,9,26,20.006635219931017,48.296062992125975,97.37185339767838,0.04967709885742673,0.14903129657228018,0.009196380958895611,0.0,0.0,-0.0007492079801353357,-0.008559170843598585,0,0,0,2,302.99,311.8159,904.672,14
