asset,category,observations,period_return_pct,listing_change_pct,listing_first,listing_last,price_first,price_last,realized_vol_daily_pct,observed_range_pct,price_transitions,listing_transitions,listing_activity_pct,price_activity_pct,sales_transitions,sales_24h_first,sales_24h_last,sales_24h_max,spearman_qty_minprice_6h,spearman_qty_medprice_6h,median_price_pct_change
AK-47 | Bloodsport (Field-Tested),weapons,2015,-1.9570445310556406,-10.434782608695652,115,103,120.59,118.23,5.932146253034389,11.650041182392243,44,73,3.626428216592151,2.185792349726776,5,2,5,6,-0.5256668335712857,-0.7038491532205207,-0.4330140401522088
AK-47 | Crane Flight (Field-Tested),weapons,2015,31.13636363636363,-60.57692307692308,104,41,13.2,17.31,54.0027869443274,62.77173913043479,123,198,9.836065573770492,6.110283159463488,7,18,22,27,-0.510302098684616,-0.7815383414519894,30.172894590072506
AK-47 | Inheritance (Field-Tested),weapons,2015,-0.8360302049622348,-8.411214953271028,321,294,37.08,36.77,25.528767874784574,46.36467453368863,122,221,10.978638847491306,6.0606060606060606,6,20,17,20,-0.26792457946193904,-0.4752329317071732,-0.9775967413442036
AK-47 | Olive Polycam (Factory New),weapons,2015,-2.631578947368418,0.0,1815,1815,0.38,0.37,1.717302661015529,5.405405405405411,3,26,1.291604570293095,0.14903129657228018,5,0,2,4,0.08443097332938107,0.21150771839072088,-0.48780487804877015
AK-47 | Redline (Field-Tested),weapons,2015,-0.20604395604396641,-1.5410958904109588,584,575,29.12,29.06,10.666902046020237,14.531249999999995,42,113,5.61351217088922,2.0864381520119224,7,8,11,14,-0.34027871095504264,-0.26802644119110675,-0.81208687440982
AK-47 | Vulcan (Factory New),weapons,2015,-3.3403398143282415,-3.5714285714285716,28,27,570.9,551.83,3.3102020812952127,6.65422322091947,17,11,0.546448087431694,0.8445106805762543,2,1,0,3,-0.4522211381796705,-0.6046347728604414,-12.621764095764595
AK-47 | Vulcan (Field-Tested),weapons,2015,-0.8378251699086015,5.208333333333333,96,101,170.68,169.25,6.839955697429165,10.788199031263764,28,29,1.4406358668653751,1.3909587680079483,5,3,0,3,-0.18116221389795617,-0.6205014932268823,-3.686342158553979
AK-47 | Wild Lotus (Factory New),weapons,2015,0.0,0.0,1,1,15453.24,15453.24,0.2547087068201018,0.3855425756582668,10,0,0.0,0.49677098857426727,0,0,0,0,,,0.0
AUG | Contractor (Field-Tested),weapons,2015,0.0,-0.27972027972027974,7865,7843,0.02,0.02,0.0,0.0,0,44,2.185792349726776,0.0,2,0,0,33,,,0.0
AUG | Hot Rod (Factory New),weapons,2015,-0.8559170843598585,50.0,4,6,470.84,466.81,20.006635219931017,48.296062992125975,23,4,0.19870839542970692,1.1425732737208147,1,0,1,1,-0.3326506122139738,-0.7391414576945308,-7.340959868299472
AUG | Storm (Field-Tested),weapons,2015,0.0,0.10325245224574084,7748,7756,0.02,0.02,0.0,0.0,0,38,1.8877297565822155,0.0,3,1,0,2,,,0.0
AWP | Asiimov (Field-Tested),weapons,2015,-5.68682059114185,-0.9569377990430622,209,207,111.31,104.98,7.8663955173469216,11.93073766389751,48,88,4.371584699453552,2.384500745156483,7,9,0,9,-0.3262961453981035,-0.4908376068441822,-1.1972592859718691
AWP | Atheris (Field-Tested),weapons,2015,-3.397027600849256,-0.20080321285140562,498,497,4.71,4.55,18.692699911055698,25.065274151436032,58,130,6.458022851465475,2.8812717337307503,7,10,6,18,-0.316328512563465,-0.5138796312326631,-0.9074410163339351
AWP | Atheris (Well-Worn),weapons,2015,-8.02139037433156,4.433497536945813,203,212,3.74,3.44,12.714475222046229,28.187919463087244,28,44,2.185792349726776,1.3909587680079483,3,3,5,5,0.15290311492764685,-0.29007260603829554,-2.107728337236531
AWP | Dragon Lore (Factory New),weapons,2015,-1.6854653252039054,0.0,5,5,11771.23,11572.83,9.270608954442821,19.33813941792975,11,6,0.29806259314456035,0.546448087431694,2,0,0,1,-0.40659980532486545,-0.5493246831416541,-0.8253910412970255
Antwerp 2022 Legends Sticker Capsule,capsules/stickers,2015,-21.276595744680847,-0.9734513274336283,2260,2238,0.47,0.37,21.86956079878759,65.62500000000001,10,21,1.0432190760059612,0.49677098857426727,6,1,64,64,-0.42368848395253345,-0.37939181038756226,-1.1764705882352953
Budapest 2025 Legends Sticker Capsule,capsules/stickers,2015,31.25,-0.9576505639497765,9398,9308,0.16,0.21,10.285784309207637,31.249999999999993,1,6,0.29806259314456035,0.04967709885742673,6,24,0,73,-0.48549846316996087,,0.0
CS:GO Weapon Case,cases,2015,-10.482746601603344,5.0,360,378,114.76,102.73,2.791332021424151,11.710308575878516,30,17,0.8445106805762543,1.4903129657228018,6,0,2,6,-0.1778267922950807,-0.8509246424323131,-6.682229355121102
Chroma 2 Case,cases,2015,-5.785123966942152,-2.7334729606358414,18621,18112,3.63,3.42,28.447979704172514,30.465949820788534,103,179,8.892200695479383,5.116741182314953,7,513,97,513,-0.06898416822681787,-0.027529661171790076,-4.123711340206171
Clutch Case,cases,2015,-3.6363636363636376,0.9599944145779515,28646,28921,0.55,0.53,42.228779813326305,73.52941176470586,66,140,6.954793840039741,3.278688524590164,7,457,60,457,-0.24725338572206002,0.0019865706713957285,-1.960784313725492
Danger Zone Case,cases,2015,-3.669724770642202,-1.8743591934381407,93632,91877,1.09,1.05,23.377560016576137,18.478260869565222,118,267,13.263785394932937,5.861897665176354,7,205,222,834,0.035901917191352016,-0.2552000059687216,-1.075268817204302
Desert Eagle | Printstream (Field-Tested),weapons,2015,0.34871244635192866,-4.157549234135668,457,438,37.28,37.41,17.69384988611396,16.10452749924037,122,232,11.525086934923001,6.0606060606060606,6,20,16,22,-0.3871489106139773,-0.7084424696241265,-0.4720161834120046
Dreams & Nightmares Case,cases,2015,-3.4188034188034178,-0.7361379807849953,60994,60545,1.17,1.13,68.0149396739711,52.439024390243915,306,542,26.924987580725286,15.201192250372578,7,671,936,1303,-0.05353302532549721,-0.5610750121808967,0.0
Fever Case,cases,2015,-6.451612903225811,4.213421941387951,36716,38263,0.62,0.58,36.33197038726272,65.85365853658539,50,161,7.9980129160457025,2.483854942871336,7,67,19,158,-0.12431057043272971,0.08389536613000659,-0.6849315068493157
