window_start_utc,observations,source_lag_s,band,classification
2026-09-12T22:00:00.000Z,100,611.031,>10m,PROVIDER DATA BEHAVIOR
2026-09-13T19:05:00.000Z,100,600.021,>10m,PROVIDER DATA BEHAVIOR
2026-09-13T19:55:00.000Z,100,601.373,>10m,PROVIDER DATA BEHAVIOR
2026-09-14T13:15:00.000Z,100,599.159,>7m,PROVIDER DATA BEHAVIOR
2026-09-14T13:45:00.000Z,100,604.374,>10m,PROVIDER DATA BEHAVIOR
2026-09-14T14:20:00.000Z,100,604.202,>10m,PROVIDER DATA BEHAVIOR
2026-09-14T15:20:00.000Z,100,601.013,>10m,PROVIDER DATA BEHAVIOR
2026-09-15T19:40:00.000Z,100,605.071,>10m,PROVIDER DATA BEHAVIOR
2026-09-15T19:45:00.000Z,100,904.672,>15m,PROVIDER DATA BEHAVIOR
2026-09-16T11:40:00.000Z,99,603.201,>10m,PROVIDER DATA BEHAVIOR
2026-09-16T11:45:00.000Z,99,903.55,>15m,PROVIDER DATA BEHAVIOR
2026-09-16T14:25:00.000Z,99,600.874,>10m,PROVIDER DATA BEHAVIOR
2026-09-16T16:00:00.000Z,99,616.454,>10m,PROVIDER DATA BEHAVIOR
2026-09-16T16:30:00.000Z,99,607.627,>10m,PROVIDER DATA BEHAVIOR
2026-09-16T16:35:00.000Z,99,899.933,>10m,PROVIDER DATA BEHAVIOR
