direction,horizon,sampling,pooled_n,pooled_pearson,pooled_spearman,ci95_low_if_independent,ci95_high_if_independent,assets_with_r,assets_positive,assets_negative,assets_abs_r_gt_0_10,per_asset_r_median,per_asset_r_p05,per_asset_r_p95,samples_per_asset_median
listing_to_price,1h,overlapping,198637,0.02523428779286075,0.043115330358178335,0.020838972232009336,0.029628627956715788,85,64,21,15,0.015139299970749025,-0.09797591585597122,0.19727791631674518,1989.0
listing_to_price,1h,non_overlapping,16578,0.022303807133603148,0.030182612676625153,0.0070836494175715945,0.037513633227937423,84,51,33,11,0.006572841813985325,-0.09619078351470654,0.1557961147499195,166.0
listing_to_price,6h,overlapping,186637,0.035187066708281804,0.04379018090147377,0.030655159403533572,0.03971752732634659,85,56,29,34,0.04270484503695303,-0.17815456926139497,0.2449685431775787,1869.0
listing_to_price,6h,non_overlapping,2597,0.032866333401816675,0.04791341795759069,-0.005604250911768304,0.07123977501695919,84,50,34,47,0.03024158281193852,-0.30445376540233576,0.34586601503928316,26.0
listing_to_price,24h,overlapping,143635,-0.0027978758718734346,0.058002396333054096,-0.007969285407143442,0.0023736833187545663,85,61,24,67,0.18038278586061288,-0.4019184458310371,0.5473146481395207,1439.0
listing_to_price,24h,non_overlapping,500,0.0049059241393374,-0.014030997305309996,-0.08282029309560056,0.0925566936034329,83,47,36,76,0.1387913817343451,-0.7751395240227423,0.842023296925394,5.0
price_to_listing,1h,overlapping,198637,0.027794104946071974,0.04591806300627225,0.023399336920715247,0.03218779877411414,85,72,13,20,0.04498630566818581,-0.031690668246198914,0.21915816528425022,1989.0
price_to_listing,1h,non_overlapping,16578,0.025522664055536905,0.03872432608995899,0.010304104645434818,0.04072940261805434,84,57,27,25,0.013726554852168968,-0.08257779353690459,0.23381247773317823,166.0
price_to_listing,6h,overlapping,186637,0.04735449907740385,0.04133206809272096,0.04282689892625815,0.051880154245840186,85,60,25,39,0.04678265220867274,-0.13759611246286632,0.24342308965544693,1869.0
price_to_listing,6h,non_overlapping,2597,0.018008843040923178,0.004249414501917182,-0.020468835052010487,0.05643325235536538,84,48,36,40,0.009022026660779767,-0.28308873165027737,0.34592972664201904,26.0
price_to_listing,24h,overlapping,143635,0.03429829838164835,0.05369391839909043,0.02913194080001814,0.039462823528097164,84,54,30,58,0.08895408354948839,-0.38668343912715775,0.5192146488771324,1439.0
price_to_listing,24h,non_overlapping,500,0.03427479424059589,-0.03433144601149412,-0.05357682268298305,0.12159990404980947,83,46,37,69,0.08026882447026214,-0.8647689774641972,0.7388820371242228,5.0
