horizon,state,count,share_pct,assets_represented,persistence_pct,persistence_sample,forward_return_n,forward_return_mean_pct,forward_return_median_pct,forward_return_p05_pct,forward_return_p95_pct
1h,PRICE FLAT + LISTINGS FLAT,144979,72.5127040653009,100,80.97650692299685,144085,144085,-0.013759629781979333,0.0,-0.23248673791225194,0.0
1h,PRICE FLAT + LISTINGS MOVED,23203,11.60521366837388,88,28.077040128690058,23001,23001,-0.04650402241205871,0.0,-2.8846153846153855,2.2362385321100797
1h,PRICE MOVED + LISTINGS FLAT,11715,5.859375,92,9.29553264604811,11640,11640,0.4469152672655967,0.0,-1.112877583465821,4.16736141811902
1h,PRICE UP + LISTINGS DOWN,10405,5.2041653329065305,81,7.861908906295329,10341,10341,-0.7888854270330488,0.0,-6.504065040650408,1.5897939156035212
1h,PRICE DOWN + LISTINGS UP,6401,3.2015244878361075,74,4.75517890772128,6372,6372,1.5020920991852074,0.0,-2.3809523809523836,10.989010989010994
1h,PRICE DOWN + LISTINGS DOWN,2217,1.108854833546735,48,3.542234332425068,2202,2202,2.274539976058652,0.0,-3.44827586206895,12.872340425531913
1h,PRICE UP + LISTINGS UP,1016,0.5081626120358514,38,2.8112449799196786,996,996,-0.37662807245723295,0.0,-9.32203389830507,5.454545454545445
6h,PRICE FLAT + LISTINGS FLAT,69896,36.04075571322498,98,55.154971857410885,66625,66625,0.05008998851864109,0.0,-2.86960514233241,1.9273221259976214
6h,PRICE FLAT + LISTINGS MOVED,32639,16.829778896130684,87,28.660287081339714,31350,31350,-0.27231046120295765,0.0,-4.999999999999993,3.2215055313322027
6h,PRICE MOVED + LISTINGS FLAT,30751,15.856261859582542,93,18.248685349131332,30046,30046,0.3583828064254237,0.0,-4.816106531388709,5.907877169559406
6h,PRICE UP + LISTINGS DOWN,25181,12.984180348156093,81,14.111362235463325,24335,24335,-1.2485732876324427,0.0,-9.090909090909083,3.124999999999978
6h,PRICE DOWN + LISTINGS UP,18824,9.706294860160053,75,11.280052695136678,18218,18218,1.3766461796521487,0.0,-5.172413793103436,10.747663551401864
6h,PRICE DOWN + LISTINGS DOWN,11127,5.73745978054616,63,6.150405367626503,10731,10731,2.0423797040060743,0.0,-6.127450980392157,14.33915211970076
6h,PRICE UP + LISTINGS UP,5518,2.8452685421994883,56,7.389347336834208,5332,5332,-0.8377084207194108,0.0,-7.681201270574656,3.2258064516129004
24h,PRICE MOVED + LISTINGS FLAT,40122,23.26789804854003,85,47.08912768647282,31640,31640,0.0039240391019090964,-0.05995203836929308,-8.02841153680587,5.825242718446599
24h,PRICE UP + LISTINGS DOWN,34090,19.769768318496826,80,19.90976151256893,27926,27926,-1.8077009925014198,-0.2619944326183177,-12.660944206008583,4.789211001380478
24h,PRICE DOWN + LISTINGS UP,31339,18.174384550700264,73,23.180447057003637,25858,25858,0.6146461038923606,0.0,-7.461776807030018,9.931914893617
24h,PRICE DOWN + LISTINGS DOWN,23004,13.340679096471135,73,15.522665153937394,19391,19391,2.2018006435759077,0.0,-6.350914962325083,18.421052631578938
24h,PRICE FLAT + LISTINGS MOVED,19420,11.262214747586047,71,36.841187750595616,17209,17209,0.6637073701472447,0.0,-5.47945205479452,17.499999999999982
24h,PRICE FLAT + LISTINGS FLAT,13651,7.916606257430336,59,19.866457187745482,12730,12730,1.484397709262707,0.0,-5.579046579180491,3.6297183616242235
24h,PRICE UP + LISTINGS UP,10809,6.268448980775364,57,7.97207521675487,8881,8881,-1.439786387419033,-0.45045045045045695,-10.344827586206884,7.272727272727253
